,name,artist,duration,rank,mbid
115,COCAINE BLUES,JOHNNY CASH,203.0,116,7032f4bf-9d1d-4087-adec-e406c0e44074
116,STRONG ENOUGH,SHERYL CROW,190.0,117,7ca21c82-1345-44df-b7ac-035a6e05d4ed
117,LYIN' EYES,EAGLES,381.0,118,f4bd678a-f16b-479e-8df1-8233223c6878
118,BRIDGE OVER TROUBLED WATER,JOHNNY CASH,237.0,119,fbf8a328-f0bf-46e5-8d1e-7bbfc3ebf289
119,FOREVER & ALWAYS,TAYLOR SWIFT,237.0,120,0bc0ebeb-ff98-4be1-a2c5-4b47893e9ffa
120,RAIN IS A GOOD THING,LUKE BRYAN,174.0,121,a53e5506-74d5-4215-ad2f-0403737029e9
121,ALREADY DEAD,BECK,199.0,122,89e315d1-2cd7-456f-890b-f2a52d3ee57d
122,LOVE LIKE CRAZY,LEE BRICE,217.0,123,a87328ee-5151-429d-8bb6-6b609fa45767
123,AMERICAN HONEY,LADY ANTEBELLUM,240.0,124,1f59db8f-5226-4f39-9bd6-10aacc3db618
124,ORANGE BLOSSOM SPECIAL,JOHNNY CASH,185.0,125,03861391-9e00-49c0-b855-bd7d00297f90
125,YOU'LL THINK OF ME,KEITH URBAN,231.0,126,fd6db3f3-24e2-41a8-9442-1dcd598cf7dd
126,IT'S AMERICA,RODNEY ATKINS,212.0,127,32acd550-eb1a-48ac-b78c-37a3e7d75e56
127,FOLLOW ME,UNCLE KRACKER,215.0,128,5635f6fb-a352-41a9-b855-999ac80b5a05
128,OL' RED,BLAKE SHELTON,222.0,129,612d69dc-0906-4860-b806-eb801bf4793f
129,REDNECK YACHT CLUB,CRAIG MORGAN,224.0,130,9e509c7f-3302-4470-a716-cae6b5a726d5
130,FOLKIN' AROUND,PANIC! AT THE DISCO,115.0,131,fe4c78ab-76e2-46d2-ac57-99262c096169
131,WHAT KINDA GONE,CHRIS CAGLE,181.0,132,bf1d2962-1d96-447e-9d34-50af5046aebd
132,(GHOST) RIDERS IN THE SKY,JOHNNY CASH,278.0,133,441c050b-75bc-48f9-9480-72fed7c4e753
133,A MAN NEEDS A MAID,NEIL YOUNG,319.0,134,45086c8b-01f2-4088-9ac0-fdb0638cbb82
134,I GOT STRIPES,JOHNNY CASH,105.0,135,2cab630f-b807-4b68-b5a6-7a805891680b
135,BLUE EYES CRYING IN THE RAIN,WILLIE NELSON,187.0,136,1e0ff41e-80bc-4812-a57c-1735bf814d57
136,THE WAY I LOVED YOU,TAYLOR SWIFT,245.0,137,26b14fbc-8c89-4d15-ab44-fbb656cfc29f
137,"RUBY, DON'T TAKE YOUR LOVE TO TOWN",THE KILLERS,185.0,138,eee9a81a-0f50-4c39-aacb-c3ba542a71da
138,SOAK UP THE SUN,SHERYL CROW,0.0,139,8954bbdf-3e58-493e-a2e1-e15bf66ea4d5
139,FREE AND EASY (DOWN THE ROAD I GO),DIERKS BENTLEY,201.0,140,11571b59-8f4a-4c3e-9c88-35fe3a5f4162
140,WOULD YOU GO WITH ME,JOSH TURNER,228.0,141,4ef2b7da-74d1-45d8-9487-34cef6ad70f2
141,TELL ME WHY,TAYLOR SWIFT,200.0,142,b3863134-0129-4b46-89b4-cb39a99f7f54
142,THAT'S ALL RIGHT,ELVIS PRESLEY,116.0,143,d856d9de-396f-4744-b7d8-f963cf2c26a3
143,REV. GRIP,YO GOTTI,37.0,144,fd029e86-45c7-41bd-83bf-701438e72b85
144,TEQUILA MAKES HER CLOTHES FALL OFF,JOE NICHOLS,189.0,145,1bb154bd-5152-4f91-904a-e1f5f4170861
145,CHANGE IS HARD,SHE & HIM,183.0,146,658f3d2a-1d30-4563-a55d-b6600397ae6f
146,HIGHWAY 20 RIDE,ZAC BROWN BAND,229.0,147,55469ee0-cb30-4215-97ad-57500ad75e21
147,'39,QUEEN,211.0,148,16d2c90d-d688-4465-bb76-4a9e94b80729
148,ALWAYS ON MY MIND,WILLIE NELSON,211.0,149,19d0be93-fdbc-4510-8a5e-c849967a927f
149,A LITTLE MORE COUNTRY THAN THAT,EASTON CORBIN,172.0,150,a7fab0da-fe33-42f5-ab3a-f8675190aae9
150,STAY,SUGARLAND,282.0,151,a31d6572-f84c-4f73-bd9e-6e72cee5d2ef
151,SPARKS FLY,TAYLOR SWIFT,0.0,152,8fb6007c-9239-4fe4-b037-69a25f21eff4
152,ALABAMA,NEIL YOUNG,335.0,153,d7314f92-0346-4953-a187-01c13cb14262
153,BLUE BEARD,BAND OF HORSES,202.0,154,7b40016d-209e-4cec-8a68-12053c6cab58
154,I AM A MAN OF CONSTANT SORROW,THE SOGGY BOTTOM BOYS,192.0,155,cb340651-b2de-4ddc-987f-ba5364dd28c1
155,THE GAMBLER,KENNY ROGERS,248.0,156,de14a784-7cdb-475d-b267-cfb1f65d8e48
156,NO EXPECTATIONS,THE ROLLING STONES,240.0,157,e6720a37-9c31-4cca-93ad-ea7ff6a62517
157,GUNPOWDER & LEAD,MIRANDA LAMBERT,191.0,158,9116854c-8977-4312-b504-468c5ab0d3e2
158,I'LL BE YOUR BABY TONIGHT,BOB DYLAN,144.0,159,60163ab2-ec29-430b-a49f-b943b79cebd9
159,I CAN'T STOP LOVING YOU,RAY CHARLES,253.0,160,cfda1516-05d3-4543-9aae-742af00b273b
160,I'M SO LONESOME I COULD CRY,HANK WILLIAMS,167.0,161,e0fe10d7-65b5-471c-9a8e-73f34a36c9e0
161,I'M SO LONESOME I COULD CRY,JOHNNY CASH,160.0,162,8c488b0a-45f9-4734-948b-aa2602dfdf7e
162,I'VE BEEN EVERYWHERE,JOHNNY CASH,197.0,163,b930f210-5172-4f9b-836f-0805f69a7978
163,SUNDAY MORNING COMING DOWN,JOHNNY CASH,249.0,164,abb3b058-0a11-411f-8edb-1fdb05eebd30
164,BYE BYE LOVE,THE EVERLY BROTHERS,144.0,165,ca4eef24-c7d3-4ecb-a834-77ab4b443275
165,WHEN THE STARS GO BLUE,RYAN ADAMS,211.0,166,bd08eddf-b811-4653-b56b-892292c291bc
166,I HOPE YOU DANCE,LEE ANN WOMACK,294.0,167,f50f94ae-2e70-473d-9390-d4e4f12aa2b9
167,DIRT ROAD ANTHEM,JASON ALDEAN,229.0,168,681f6923-cfe5-4f2f-beff-c957742ee463
168,THE MORE I DRINK,BLAKE SHELTON,217.0,169,2b6e6ba2-e2f5-46a5-8883-677132ba4af6
169,PAY NO MIND (SNOOZER),BECK,263.0,170,73d5ee7c-ceba-432f-9955-299cfd02dc1c
170,RED DIRT ROAD,BROOKS & DUNN,260.0,171,b84f45b8-3a36-423a-bd92-38a51fa16af1
171,AS GOOD AS I ONCE WAS,TOBY KEITH,227.0,172,e33f2a21-f4e1-400a-bf62-20ac49aaef0c
172,FARMER'S DAUGHTER,RODNEY ATKINS,207.0,173,d746fda4-02a8-4f9b-8d9f-1894c8162c7a
173,WILD AT HEART,GLORIANA,223.0,174,45ba0982-556f-4505-9585-bda10f8e4cfb
174,DADDY SANG BASS,JOHNNY CASH,140.0,175,1934fc39-678d-46c9-9ab4-4baea3c7af7d
175,BLACK HOLE,SHE & HIM,254.0,176,c9037db1-3c6e-4c80-b342-7fee44c4367e
176,I LOVE THIS BAR,TOBY KEITH,333.0,177,0f6a9d7b-1a4a-4c51-8ab7-50b39d2c5f4e
177,CREEPIN' IN,NORAH JONES,181.0,178,80fbff40-0985-49c9-8540-54c7735ff556
178,WHAT LIGHT,WILCO,190.0,179,cd1a47bf-7690-47db-b1e0-feccc4618f3c
179,RUSTY CAGE,JOHNNY CASH,169.0,180,ab8ad3c8-dd26-4d3e-955b-a69d38861a72
